personnel_id,first_name,last_name,dob,gender,address,city,state,postcode,current_base
00-0884264,Valeria,Breede,18/04/1987,F,23 Summerview Hill,Launceston,Tasmania,7916,HMAS Albatross
00-0999990,Waldon,Tickner,08/03/1971,M,3 Brown Circle,Sydney,New South Wales,1161,Holsworthy Barracks
00-1771497,Bessie,Cutmare,15/12/1974,F,9 Anhalt Way,Northern Suburbs Mc,New South Wales,1694,Jervis Bay (Navy College)
00-1905884,Bat,McNirlan,27/01/1972,M,7857 Hoepker Parkway,Adelaide Mail Centre,South Australia,5874,Victoria Barracks (Sydney)
00-2882307,Kym,Korlat,28/12/1978,F,0 Cardinal Center,Sydney,New South Wales,1120,Woodside Barracks
00-4199758,Austen,Inston,16/12/1977,M,3815 Veith Avenue,Eastern Suburbs Mc,New South Wales,1325,Garden Island (Fleet Base East)
00-5627105,Dewitt,Pheasant,22/10/1983,M,58223 Arapahoe Avenue,Adelaide Mail Centre,South Australia,5869,Lavarack Barracks
00-5841954,Jessalin,Bazley,18/05/1984,F,2644 Parkside Plaza,Hobart,Tasmania,7808,Blamey Barracks (Army Recruit Training Centre)
00-6878780,Aloysia,Glandon,25/05/1987,F,13 Glacier Hill Street,Hobart,Tasmania,7803,Victoria Barracks (Melbourne)
00-7142512,Naomi,Perree,30/03/1988,F,298 Melody Court,Sydney,New South Wales,1191,Jervis Bay (Navy College)
00-8328060,Eimile,Emma,11/10/1984,F,9 Scoville Parkway,Sydney South,New South Wales,1235,Shoalwater Bay Training Area
00-8363474,Spencer,Cubbon,16/11/1973,M,09818 Gerald Point,Melbourne,Victoria,8383,Lone Pine Barracks (School of Infantry)
00-8456629,Marysa,De Cristofalo,03/10/1981,F,9326 Claremont Lane,Sydney,New South Wales,1109,RAAF Base Pearce (Pilot Training)
00-8668806,Filia,Doret,12/01/1978,F,3066 Mosinee Drive,Australia Square,New South Wales,1213,HMAS Harman
00-9860760,Miner,Crabtree,05/11/1989,M,417 Quincy Crossing,Sydney,New South Wales,1181,HMAS Waterhen
01-0053872,Bellanca,Waggatt,12/08/1974,F,3041 Buhler Alley,Strawberry Hills,New South Wales,1424,Majura Training Area
01-0251025,Allan,MacFadin,21/09/1972,M,1 4th Center,Perth,Western Australia,6817,RAAF Base Wagga
01-1813556,Corbin,Cowdroy,01/04/1976,M,5 Erie Hill,Sydney,New South Wales,1009,HMAS Cairns
01-2380097,Lottie,Upcraft,05/07/1980,F,02 Eggendart Park,Brisbane,Queensland,9010,Irwin Barracks
01-2766568,Creighton,Cunniff,01/09/1974,M,763 Riverside Drive,Sydney,New South Wales,1140,HMAS Coonawarra
01-3398800,Imogen,Fryer,27/08/1981,F,6472 Mockingbird Pass,Sydney,New South Wales,1109,HMAS Albatross
01-3680950,Hart,Janusz,19/06/1971,M,69 Lighthouse Bay Junction,Sydney,New South Wales,1171,RAAF Learmonth
01-4871671,Major,Mirams,04/11/1976,M,20780 Utah Point,Sydney,New South Wales,1028,HMAS Coonawarra
01-5513859,Yoko,Cattini,16/12/1989,F,722 Lindbergh Center,Adelaide Mail Centre,South Australia,5869,RAAF Base Richmond
01-8930222,Kerk,Domke,26/12/1982,M,1989 Evergreen Junction,Sydney,New South Wales,1109,Gallipoli Barracks
01-9228702,Hirsch,Blissitt,22/09/1978,M,42 North Plaza,Eastern Suburbs Mc,New South Wales,1325,Joint Warfare Training Centre
01-9382309,Raye,Delooze,30/04/1973,F,788 Ronald Regan Trail,Sydney,New South Wales,1206,HMAS Stirling (Fleet Base West)
02-0470256,Farrel,Dyshart,02/06/1988,M,2 Golf Park,Hobart,Tasmania,7808,RAAF Base Edinburgh
02-0795632,Tonia,Margaret,03/03/1983,F,1 Walton Street,Melbourne,Victoria,8045,Blamey Barracks (Army Recruit Training Centre)
02-1681437,Garth,Weaben,04/12/1982,M,41 Fremont Court,Sydney,New South Wales,1009,RAAF Base Amberley
02-2553466,Camella,Lineker,13/03/1984,F,8 Cody Road,Northern Suburbs Mc,New South Wales,1694,HMAS Kuttabul (Fleet Base East)
02-4265351,Goldie,Bloxam,31/03/1974,F,9012 Toban Crossing,Sydney,New South Wales,1181,RAAF Curtin
02-5555461,Zenia,Newbury,28/03/1979,F,6 Laurel Junction,Sydney,New South Wales,1181,RAAF Scherger
02-7112823,Luise,Maple,10/12/1982,F,325 Erie Park,Strawberry Hills,New South Wales,1424,HMAS Coonawarra
02-8007813,Colette,Pierucci,10/08/1981,F,340 Johnson Center,Sydney South,New South Wales,1235,Swanbourne Barracks (SAS Regiment)
02-8664907,Emmit,Howlin,30/08/1973,M,3485 Porter Crossing,Adelaide Mail Centre,South Australia,5869,Watsonia Barracks
02-9284867,Abba,Cassar,03/11/1975,M,24 Bartelt Trail,Sydney,New South Wales,1181,Robertson Barracks
02-9589726,Sharon,Orable,25/02/1971,F,4977 Waxwing Road,Brisbane,Queensland,9010,Mount Bundey Training Area
03-0655446,Lucille,Enden,23/08/1980,F,21 Green Junction,Hobart,Tasmania,7808,Robertson Barracks
03-0956395,Clyve,Ivannikov,27/09/1984,M,38 Arizona Road,Sydney,New South Wales,1130,Victoria Barracks (Melbourne)
03-1588123,Brooke,Oaker,07/11/1973,F,481 Gale Park,Launceston,Tasmania,7904,Victoria Barracks (Sydney)
03-2340168,Todd,Leacock,11/05/1973,M,0 Larry Street,Strawberry Hills,New South Wales,1424,RAAF Base Williamtown
03-2413259,Hestia,Driscoll,21/07/1988,F,27 Ohio Crossing,Sydney,New South Wales,1206,Victoria Barracks (Melbourne)
03-4065249,Marcile,Quilty,10/04/1971,F,0 Kingsford Lane,Sydney,New South Wales,1033,HMAS Cairns
03-6116904,Gunilla,Lomath,18/08/1987,F,99 Homewood Drive,Australia Square,New South Wales,1213,Townsville Field Training Area
03-6180683,Lawton,McCreedy,09/06/1974,M,3228 Memorial Court,Perth,Western Australia,6843,Lone Pine Barracks (School of Infantry)
03-8441394,Gisella,Louys,23/10/1986,F,61 Mallory Parkway,Adelaide Mail Centre,South Australia,5874,HMAS Kuttabul (Fleet Base East)
03-8543819,Nikki,Greaser,24/03/1970,M,630 Sommers Park,Brisbane,Queensland,9010,Mount Bundey Training Area
03-9888734,Lilith,Woolaghan,04/04/1980,F,827 Scofield Lane,Sydney,New South Wales,1206,Jungle Training Wing
04-0077392,Birdie,Dod,25/08/1978,F,26769 Carioca Junction,Brisbane,Queensland,9010,Joint Warfare Training Centre
04-0930481,Anestassia,Tremberth,27/03/1982,F,5 American Ash Hill,Sydney,New South Wales,1120,HMAS Stirling (Fleet Base West)
04-2043814,Gordie,Riquet,20/09/1977,M,85 Messerschmidt Plaza,Sydney,New South Wales,1181,Woodside Barracks
04-2161220,Mylo,Perche,25/02/1971,M,95457 Colorado Center,Eastern Suburbs Mc,New South Wales,1391,Lone Pine Barracks (School of Infantry)
04-2999152,Ealasaid,Shapland,15/03/1973,F,787 Harper Circle,Australia Square,New South Wales,1213,RAAF Learmonth
04-3596472,Isahella,Leakner,04/09/1972,F,99694 Debra Lane,Sydney,New South Wales,1033,Victoria Barracks (Melbourne)
04-4617480,Fania,Sogg,30/07/1975,F,5 Bonner Circle,Strawberry Hills,New South Wales,1424,Victoria Barracks (Sydney)
04-4718908,Nita,McCarrick,25/05/1981,F,675 Elka Point,Hobart,Tasmania,7803,Irwin Barracks
04-5759256,Freddi,Clawsley,13/05/1983,F,6601 Eagan Road,Hobart,Tasmania,7808,Kokoda Barracks (Land Warfare Centre)
04-5772276,Klemens,Dufer,25/08/1978,M,56763 Dawn Plaza,Melbourne,Victoria,8045,RAAF Base Edinburgh
04-6084678,Roselin,Kleinert,14/02/1987,F,07 Darwin Court,Perth,Western Australia,6817,HMAS Harman
